species,visit_id,pi,color,visit_start,visit_end,duration,pi_color,period
fervidus,69.0,9,grn,2024-07-11 07:28:42,2024-07-11 07:28:42,0.0,9_grn,1.0
vosnesenskii,32.0,2,blv,2024-07-11 07:51:19,2024-07-11 07:51:19,0.0,2_blv,1.0
vosnesenskii,80.0,6,cnt,2024-07-11 08:09:09,2024-07-11 08:09:09,0.0,6_cnt,1.0
fervidus,29.0,4,grn,2024-07-11 08:40:37,2024-07-11 08:40:37,0.0,4_grn,1.0
vosnesenskii,1.0,1,cnt,2024-07-11 08:43:51,2024-07-11 08:43:51,0.0,1_cnt,1.0
fervidus,1.0,1,cnt,2024-07-11 09:02:37,2024-07-11 09:02:37,0.0,1_cnt,1.0
vosnesenskii,81.0,6,cnt,2024-07-11 09:35:29,2024-07-11 09:35:29,0.0,6_cnt,1.0
vosnesenskii,33.0,2,blv,2024-07-11 09:51:50,2024-07-11 09:51:50,0.0,2_blv,1.0
fervidus,2.0,1,cnt,2024-07-11 09:55:06,2024-07-11 09:55:06,0.0,1_cnt,1.0
vosnesenskii,82.0,6,cnt,2024-07-11 10:11:48,2024-07-11 10:11:48,0.0,6_cnt,1.0
vosnesenskii,105.0,7,yel,2024-07-11 10:17:18,2024-07-11 10:17:18,0.0,7_yel,1.0
fervidus,50.0,6,cnt,2024-07-11 10:33:06,2024-07-11 10:33:06,0.0,6_cnt,1.0
vosnesenskii,83.0,6,cnt,2024-07-11 10:35:37,2024-07-11 10:35:39,2.0,6_cnt,1.0
fervidus,3.0,1,cnt,2024-07-11 10:40:47,2024-07-11 10:40:47,0.0,1_cnt,1.0
vosnesenskii,84.0,6,cnt,2024-07-11 11:05:07,2024-07-11 11:05:07,0.0,6_cnt,1.0
vosnesenskii,114.0,8,blu,2024-07-11 11:13:10,2024-07-11 11:13:10,0.0,8_blu,1.0
fervidus,61.0,7,yel,2024-07-11 11:26:15,2024-07-11 11:26:15,0.0,7_yel,1.0
fervidus,4.0,1,cnt,2024-07-11 12:06:41,2024-07-11 12:06:41,0.0,1_cnt,1.0
fervidus,5.0,1,cnt,2024-07-11 12:19:37,2024-07-11 12:19:37,0.0,1_cnt,1.0
vosnesenskii,2.0,1,cnt,2024-07-11 12:34:12,2024-07-11 12:34:12,0.0,1_cnt,1.0
griseocollis,2.0,2,blv,2024-07-11 12:57:24,2024-07-11 12:57:24,0.0,2_blv,1.0
vosnesenskii,68.0,5,yel,2024-07-11 13:08:39,2024-07-11 13:08:39,0.0,5_yel,1.0
fervidus,30.0,4,grn,2024-07-11 13:20:46,2024-07-11 13:20:46,0.0,4_grn,1.0
griseocollis,1.0,1,cnt,2024-07-11 13:21:45,2024-07-11 13:21:45,0.0,1_cnt,1.0
vosnesenskii,53.0,4,grn,2024-07-11 14:49:43,2024-07-11 14:49:43,0.0,4_grn,1.0
vosnesenskii,3.0,1,cnt,2024-07-11 15:35:55,2024-07-11 15:35:55,0.0,1_cnt,1.0
vosnesenskii,106.0,7,yel,2024-07-11 15:45:44,2024-07-11 15:45:44,0.0,7_yel,1.0
vosnesenskii,85.0,6,cnt,2024-07-11 15:46:44,2024-07-11 15:46:44,0.0,6_cnt,1.0
unk,1.0,1,cnt,2024-07-11 15:58:37,2024-07-11 15:58:37,0.0,1_cnt,1.0
fervidus,6.0,1,cnt,2024-07-12 08:45:08,2024-07-12 08:45:08,0.0,1_cnt,1.0
fervidus,51.0,6,cnt,2024-07-12 09:05:49,2024-07-12 09:05:49,0.0,6_cnt,1.0
vosnesenskii,54.0,4,grn,2024-07-12 09:13:19,2024-07-12 09:13:19,0.0,4_grn,1.0
fervidus,7.0,1,cnt,2024-07-12 09:56:11,2024-07-12 09:56:11,0.0,1_cnt,1.0
unk,22.0,9,grn,2024-07-12 10:02:29,2024-07-12 10:02:29,0.0,9_grn,1.0
fervidus,8.0,1,cnt,2024-07-12 10:15:50,2024-07-12 10:15:50,0.0,1_cnt,1.0
vosnesenskii,4.0,1,cnt,2024-07-12 10:43:26,2024-07-12 10:43:26,0.0,1_cnt,1.0
vosnesenskii,5.0,1,cnt,2024-07-12 11:19:32,2024-07-12 11:19:49,17.0,1_cnt,1.0
fervidus,52.0,6,cnt,2024-07-12 11:26:05,2024-07-12 11:26:05,0.0,6_cnt,1.0
vosnesenskii,69.0,5,yel,2024-07-12 11:45:47,2024-07-12 11:45:47,0.0,5_yel,1.0
