color,date,pi,count
blu,2024-07-11,8,18400
blu,2024-07-12,8,18400
blu,2024-07-13,3,8255
blu,2024-07-13,8,18269
blu,2024-07-14,3,35091
blu,2024-07-14,8,18206
blu,2024-07-15,3,35075
blu,2024-07-16,3,5187
blu,2024-07-18,3,29900
blu,2024-07-18,7,20370
blu,2024-07-19,3,49738
blu,2024-07-19,7,49807
blu,2024-07-20,3,9244
blu,2024-07-20,7,19518
blu,2024-07-21,3,49812
blu,2024-07-21,7,49703
blu,2024-07-22,3,34619
blu,2024-07-22,7,39889
blu,2024-07-23,3,1
blu,2024-07-23,7,1
blu,2024-07-24,5,46397
blu,2024-07-24,10,46367
blu,2024-07-25,5,46385
blu,2024-07-25,10,46377
blu,2024-07-26,5,46352
blu,2024-07-26,10,46347
blu,2024-07-27,5,46253
blu,2024-07-27,10,46265
blu,2024-07-28,5,46373
blu,2024-07-28,10,46353
blu,2024-07-29,5,46310
blu,2024-07-29,10,42203
blu,2024-07-30,5,46435
blu,2024-07-30,10,46355
blu,2024-07-31,5,41148
blu,2024-07-31,10,46241
blu,2024-08-01,5,31236
blu,2024-08-01,10,31088
blu,2024-08-02,5,46023
blu,2024-08-02,10,46907
blu,2024-08-03,5,47148
blu,2024-08-03,10,46866
blu,2024-08-04,5,40178
blu,2024-08-04,10,37929
blu,2024-08-05,10,1
blu,2024-08-06,5,46748
blu,2024-08-06,10,46843
blu,2024-08-07,5,36081
blu,2024-08-07,10,32575
blu,2024-08-08,5,46814
blu,2024-08-08,10,46583
blu,2024-08-09,5,46608
blu,2024-08-09,10,46602
blu,2024-08-10,5,46848
blu,2024-08-10,10,46698
blu,2024-08-11,5,11440
blu,2024-08-11,10,10867
blu,2024-08-12,5,1
blu,2024-08-12,10,1
blu,2024-08-13,5,47113
blu,2024-08-13,10,47015
blu,2024-08-14,5,46595
blu,2024-08-14,10,46664
blu,2024-08-15,4,10054
blu,2024-08-15,5,6761
blu,2024-08-15,10,10687
blu,2024-08-16,4,47260
blu,2024-08-16,10,47422
blu,2024-08-17,4,47417
blu,2024-08-17,10,32989
blu,2024-08-18,4,18684
blu,2024-08-19,4,15205
blu,2024-08-19,10,6752
blu,2024-08-20,4,46747
blu,2024-08-20,10,46969
blu,2024-08-21,4,45473
blu,2024-08-21,10,47085
blu,2024-08-22,4,7481
blu,2024-08-22,10,37059
blu,2024-08-23,4,47205
blu,2024-08-23,10,47344
blu,2024-08-24,4,47323
blu,2024-08-24,10,47473
blu,2024-08-25,4,46695
blu,2024-08-25,10,46913
blu,2024-08-26,4,46971
blu,2024-08-26,10,47134
blu,2024-08-27,4,13897
blu,2024-08-27,10,38526
blu,2024-08-28,4,34966
blu,2024-08-28,10,34904
blu,2024-08-29,4,46960
blu,2024-08-29,10,46985
blu,2024-08-30,4,14640
blu,2024-08-30,10,21037
blu,2024-09-03,3,32621
blu,2024-09-03,7,32001
blu,2024-09-04,3,46993
blu,2024-09-04,7,46830
blu,2024-09-05,3,43596
blu,2024-09-05,7,41998
blu,2024-09-06,3,36981
blu,2024-09-06,7,37432
blu,2024-09-07,3,36969
blu,2024-09-07,7,37438
blu,2024-09-08,3,4819
blu,2024-09-08,7,8405
blv,2024-07-11,2,18243
blv,2024-07-12,2,18339
blv,2024-07-13,2,14229
blv,2024-07-13,10,8318
blv,2024-07-14,2,18314
blv,2024-07-14,10,35069
blv,2024-07-15,2,14977
blv,2024-07-15,10,35061
blv,2024-07-16,10,6910
blv,2024-07-18,2,31303
blv,2024-07-18,10,30127
blv,2024-07-19,2,49771
blv,2024-07-19,10,49809
blv,2024-07-20,2,11925
blv,2024-07-20,10,7031
blv,2024-07-21,2,49769
blv,2024-07-21,10,49751
blv,2024-07-22,2,42037
blv,2024-07-22,10,44202
blv,2024-07-23,2,1
blv,2024-07-23,10,1
blv,2024-07-24,1,46428
blv,2024-07-24,9,46418
blv,2024-07-25,1,45154
blv,2024-07-25,9,46356
blv,2024-07-26,1,46373
blv,2024-07-26,9,46347
blv,2024-07-27,1,46299
blv,2024-07-27,9,46284
blv,2024-07-28,1,46348
blv,2024-07-28,9,46384
blv,2024-07-29,1,46311
blv,2024-07-29,9,46366
blv,2024-07-30,1,46336
blv,2024-07-30,9,46346
blv,2024-07-31,1,46455
blv,2024-07-31,9,46415
blv,2024-08-01,1,36637
blv,2024-08-01,9,59254
blv,2024-08-02,1,46734
blv,2024-08-02,9,30592
blv,2024-08-03,1,46883
blv,2024-08-03,9,46776
blv,2024-08-04,1,32535
blv,2024-08-04,9,39701
blv,2024-08-06,1,46781
blv,2024-08-06,9,46855
blv,2024-08-07,1,30788
blv,2024-08-07,9,1
blv,2024-08-08,1,46610
blv,2024-08-08,9,46634
blv,2024-08-09,1,46682
blv,2024-08-09,9,46711
blv,2024-08-10,1,46762
blv,2024-08-10,9,46382
blv,2024-08-11,1,6984
blv,2024-08-12,1,1
blv,2024-08-12,9,1
blv,2024-08-13,1,47041
blv,2024-08-13,9,47010
blv,2024-08-14,1,45712
blv,2024-08-14,9,46655
blv,2024-08-15,1,1010
blv,2024-08-15,2,10154
blv,2024-08-15,6,9502
blv,2024-08-15,9,2641
blv,2024-08-16,2,47356
blv,2024-08-16,6,47172
blv,2024-08-17,2,36410
blv,2024-08-17,6,34725
blv,2024-08-19,2,7478
blv,2024-08-19,6,7152
blv,2024-08-20,2,46968
blv,2024-08-20,6,47077
blv,2024-08-21,2,47195
blv,2024-08-21,6,47183
blv,2024-08-22,2,9100
blv,2024-08-22,6,33262
blv,2024-08-23,2,47138
blv,2024-08-23,6,47212
blv,2024-08-24,2,47174
