wavelength_nm,pl_counts
371.03,168
371.41,162
371.79,165
372.17,165
372.55,170
372.93,171
373.31,170
373.69,171
374.07,171
374.45,171
374.83,167
375.21,174
375.59,167
375.97,171
376.35,167
376.73,168
377.11,172
377.49,176
377.87,172
378.25,173
378.63,171
379.01,172
379.39,165
379.77,170
380.15,176
380.53,180
380.91,181
381.29,178
381.67,182
382.05,182
382.43,182
382.8,181
383.18,181
383.56,179
383.94,180
384.32,180
384.7,184
385.08,184
385.46,185
385.84,183
386.22,180
386.59,184
386.97,183
387.35,185
387.73,191
388.11,182
388.49,196
388.87,190
389.25,193
389.62,196
390,197
390.38,199
390.76,206
391.14,204
391.52,210
391.89,213
392.27,219
392.65,224
393.03,229
393.41,241
393.79,243
394.16,252
394.54,259
394.92,264
395.3,272
395.68,283
396.05,294
396.43,308
396.81,312
397.19,328
397.57,349
397.94,362
398.32,373
398.7,388
399.08,416
399.45,420
399.83,440
400.21,450
400.59,461
400.96,483
401.34,507
401.72,527
402.09,521
402.47,543
402.85,582
403.23,588
403.6,596
403.98,630
404.36,640
404.73,642
405.11,664
405.49,680
405.87,700
406.24,722
406.62,766
407,753
407.37,757
407.75,768
408.13,801
408.5,819
408.88,821
409.26,836
409.63,866
410.01,948
410.39,944
410.76,1000
411.14,994
411.51,1018
411.89,1104
412.27,1105
412.64,1186
413.02,1217
413.39,1279
413.77,1306
414.15,1375
414.52,1440
414.9,1491
415.27,1515
415.65,1597
416.03,1599
416.4,1688
416.78,1720
417.15,1692
417.53,1902
417.91,1899
418.28,1936
418.66,2043
419.03,2078
419.41,2266
419.78,2258
420.16,2338
420.53,2454
420.91,2568
421.28,2718
421.66,2653
422.03,2687
422.41,2996
422.78,2804
423.16,3087
423.53,3088
423.91,3005
424.28,2990
424.66,3224
425.03,3327
425.41,3548
425.78,3448
426.16,3469
426.53,3491
426.91,3522
427.28,3510
427.66,3625
428.03,3681
428.41,3545
428.78,3711
429.16,3910
429.53,3630
429.9,3688
430.28,3757
430.65,3682
431.03,3668
431.4,3745
431.78,3622
432.15,3537
432.52,3605
432.9,3634
433.27,3548
433.65,3562
434.02,3675
434.39,3678
434.77,3427
435.14,3336
435.52,3381
435.89,3510
436.26,3356
436.64,3353
437.01,3231
437.38,3240
437.76,3052
438.13,3233
438.5,3176
438.88,3161
439.25,3216
439.62,3297
440,3236
440.37,3199
440.74,3217
441.12,3076
441.49,2965
441.86,3210
442.24,3237
442.61,3110
442.98,3133
443.36,3058
443.73,3179
444.1,3016
444.47,2979
444.85,3182
445.22,3035
445.59,3185
445.96,3083
446.34,3140
446.71,3247
447.08,3052
447.45,3066
447.83,3025
448.2,3229
448.57,3060
448.94,3184
449.32,3193
449.69,3202
450.06,3060
450.43,3114
450.81,3186
451.18,3292
451.55,3290
451.92,3330
452.29,3237
452.67,3326
453.04,3347
453.41,3112
453.78,3129
454.15,3245
454.52,3371
454.9,3364
455.27,3423
455.64,3298
456.01,3227
456.38,3277
456.75,3108
457.13,3079
457.5,3129
457.87,3149
458.24,3100
458.61,3225
458.98,3112
459.35,2906
459.72,2972
460.1,2997
460.47,3033
460.84,3067
461.21,2894
461.58,3044
461.95,2993
