wavelength_nm,reflectance_au
373.94,1.08333
374.31,0.65116
374.68,0.7
375.04,0.81915
375.41,1
375.78,0.82353
376.14,0.54902
376.51,0.875
376.88,0.83696
377.24,0.73684
377.61,1.23529
377.98,0.89091
378.34,0.92105
378.71,0.90517
379.08,0.32308
379.44,0.41176
379.81,0.67742
380.17,0.52239
380.54,0.75385
380.91,0.72222
381.27,0.46324
381.64,0.75385
382.01,0.65333
382.37,0.47297
382.74,0.80405
383.11,0.57463
383.47,0.7
383.84,0.58333
384.2,0.53529
384.57,0.51705
384.94,0.58333
385.3,0.69186
385.67,0.64368
386.03,0.55056
386.4,0.52128
386.77,0.51705
387.13,0.53529
387.5,0.52688
387.86,0.5
388.23,0.55446
388.6,0.65842
388.96,0.41584
389.33,0.46875
389.69,0.52941
390.06,0.57328
390.42,0.53846
390.79,0.63115
391.15,0.60744
391.52,0.62222
391.89,0.45652
392.25,0.4854
392.62,0.65625
392.98,0.53472
393.35,0.56757
393.71,0.57566
394.08,0.60191
394.44,0.68293
394.81,0.55588
395.17,0.6
395.54,0.6474
395.9,0.53141
396.27,0.67857
396.63,0.73775
397,0.72642
397.36,0.69037
397.73,0.75336
398.09,0.72979
398.46,0.90466
398.82,0.93333
399.19,0.93056
399.55,0.97379
399.92,0.96415
400.28,1.03409
400.65,1.07014
401.01,1.14613
401.38,1.24275
401.74,1.31404
402.11,1.38793
402.47,1.48123
402.84,1.47987
403.2,1.56699
403.57,1.52923
403.93,1.57447
404.3,1.77676
404.66,1.70954
405.02,1.83046
405.39,1.73
405.75,1.85057
406.12,1.85791
406.48,1.96629
406.85,2.01776
407.21,2.08511
407.57,2.12599
407.94,2.20573
408.3,2.14286
408.67,2.30682
409.03,2.38917
409.4,2.48615
409.76,2.47414
410.12,2.64407
410.49,2.87835
410.85,2.99153
411.22,3.17108
411.58,3.28689
411.94,3.43427
412.31,3.74476
412.67,3.86758
413.03,4.08998
413.4,4.43499
413.76,4.57877
414.13,4.69863
414.49,4.96233
414.85,5.35011
415.22,5.44178
415.58,5.70548
415.94,5.87071
416.31,6.27477
416.67,6.34719
417.03,7
417.4,6.76154
417.76,7.21284
418.12,7.4908
418.49,7.57048
418.85,7.65343
419.21,7.9234
419.58,7.98144
419.94,8.40881
420.3,8.35324
420.67,8.73948
421.03,8.8874
421.39,8.98167
421.76,9.58473
422.12,9.91909
422.48,9.99275
422.85,10.5222
423.21,10.23996
423.57,10.55031
423.93,10.93571
424.3,11.22222
424.66,11.6334
425.02,11.4863
425.38,11.84144
425.75,11.98649
426.11,12.00667
426.47,12.0084
426.84,12.15478
427.2,12.39852
427.56,12.69633
427.92,12.57477
428.29,13.0726
428.65,12.82504
429.01,13.50364
429.37,13.48125
429.74,13.09012
430.1,13.2737
430.46,13.71301
430.82,13.1146
431.18,13.72704
431.55,13.01163
431.91,13.15152
432.27,12.97844
432.63,13.01794
433,12.90732
433.36,12.86667
433.72,12.62036
434.08,13.20165
434.44,12.68891
434.81,12.60112
435.17,12.37657
435.53,12.18381
435.89,12.02036
436.25,12.14211
436.61,11.9452
436.98,11.59538
437.34,11.56139
437.7,11.20303
438.06,11.23022
438.42,10.84014
438.78,10.86509
439.15,10.98803
439.51,10.71197
439.87,10.72486
440.23,10.70268
440.59,10.64276
440.95,10.5705
441.31,10.68129
441.68,10.66314
442.04,10.5
442.4,10.32381
442.76,10.41667
443.12,10.61701
443.48,10.49004
443.84,10.14569
444.2,10.34825
444.57,10.26798
444.93,10.28003
445.29,10.36538
445.65,10.21727
446.01,10.09484
446.37,10.14177
446.73,10.28773
447.09,10.17556
447.45,10.40647
447.81,10.32228
448.18,10.18137
448.54,10.30856
448.9,10.23455
449.26,10.12123
449.62,10.02964
449.98,9.66137
450.34,9.26803
450.7,9.19392
451.06,9.16933
451.42,9.84479
451.78,9.85538
452.14,9.90361
452.5,9.63948
452.86,9.53408
453.22,9.66322
453.58,9.65854
453.94,10.0177
454.3,9.80524
454.66,10.0342
455.02,9.93125
455.38,9.73068
455.74,9.79048
456.1,9.8875
456.46,9.88087
456.82,9.80585
457.18,9.63934
457.54,9.34646
457.9,9.35895
458.26,9.28162
458.62,9.24599
458.98,9.12527
459.34,9.25987
459.7,9.34225
460.06,9.35138
460.42,9.12121
460.78,9.16467
461.14,9.05616
461.5,8.84995
461.86,8.93364
462.22,8.53509
462.58,8.24884
462.94,8.16356
463.3,7.99408
463.66,7.86409
464.02,7.98587
464.38,7.91505
464.74,7.96377
465.1,7.95337
465.46,7.91574
465.81,8.02236
466.17,7.75047
466.53,7.51461
466.89,7.43905
467.25,7.08777
467.61,6.96974
467.97,6.68619
468.33,6.52859
468.69,6.42436
469.05,6.53194
469.4,6.5971
469.76,6.62629
470.12,6.52596
470.48,6.59048
470.84,6.60643
471.2,6.46745
471.56,6.39766
471.92,6.59059
472.27,6.4099
472.63,6.44653
472.99,6.29083
473.35,6.10407
473.71,6.04124
474.07,5.83498
474.43,6.00529
474.78,5.91035
475.14,6.01235
475.5,6.05134
475.86,6.09135
476.22,5.97175
476.58,6.03842
476.93,6.11988
477.29,5.92726
477.65,5.80281
478.01,5.74272
478.37,5.69527
478.72,5.62476
479.08,5.53149
479.44,5.47188
479.8,5.43972
480.16,5.32932
480.51,5.20837
480.87,5.11196
481.23,5.10417
481.59,4.8308
481.95,4.76528
482.3,4.89449
482.66,4.85466
483.02,4.78488
483.38,4.74558
483.73,4.67202
484.09,4.64599
484.45,4.61189
484.81,4.53724
485.16,4.45707
485.52,4.54494
485.88,4.47238
486.24,4.42197
486.59,4.43294
486.95,4.42725
487.31,4.26572
487.67,4.27778
488.02,4.21712
488.38,4.22404
488.74,4.18771
489.09,4.12813
489.45,3.97159
489.81,4.02085
490.16,3.8995
490.52,3.89644
490.88,3.92737
491.24,3.79027
491.59,3.69254
491.95,3.54175
492.31,3.54206
492.66,3.37524
493.02,3.38288
493.38,3.33409
493.73,3.30492
494.09,3.31793
494.45,3.26031
494.8,3.30165
495.16,3.21254
495.52,3.19721
495.87,3.21587
496.23,3.08062
496.59,3.11053
496.94,3.02453
497.3,2.98698
497.65,2.97726
498.01,2.95852
498.37,2.88312
498.72,2.8833
499.08,2.83841
499.44,2.77269
499.79,2.6653
500.15,2.69394
500.5,2.65373
500.86,2.59872
501.22,2.54545
501.57,2.56404
501.93,2.52968
502.28,2.45414
502.64,2.40804
502.99,2.39853
503.35,2.39419
503.71,2.32569
504.06,2.2398
504.42,2.25346
504.77,2.22988
505.13,2.15405
505.48,2.12207
505.84,2.11448
506.2,2.10473
506.55,2.1
506.91,2.02116
507.26,1.98403
507.62,1.9541
507.97,1.95884
508.33,1.91077
508.68,1.90788
509.04,1.8984
509.39,1.88198
509.75,1.82527
510.1,1.77376
510.46,1.74328
510.81,1.72328
511.17,1.75813
511.52,1.65594
511.88,1.65211
512.23,1.66513
512.59,1.61245
512.94,1.58384
513.3,1.625
513.65,1.58465
514.01,1.56579
514.36,1.50472
514.72,1.52246
515.07,1.52877
515.43,1.5175
515.78,1.44644
516.14,1.45246
516.49,1.44101
516.84,1.40569
517.2,1.38477
517.55,1.38352
517.91,1.34988
518.26,1.36079
518.62,1.30894
518.97,1.32178
519.32,1.28456
519.68,1.30146
520.03,1.2761
520.39,1.27114
520.74,1.25754
521.1,1.20789
521.45,1.22442
521.8,1.21154
522.16,1.17733
522.51,1.1462
522.87,1.17358
523.22,1.15093
523.57,1.14008
523.93,1.15485
524.28,1.09706
524.63,1.13863
524.99,1.11201
525.34,1.09575
525.69,1.06561
526.05,1.07167
526.4,1.06143
526.76,1.0634
527.11,1.03409
527.46,0.99415
527.82,1.01324
528.17,0.98549
528.52,1.01741
528.88,1.04062
529.23,0.98634
529.58,0.93034
529.94,0.99267
530.29,0.94587
530.64,0.92436
531,0.94854
531.35,0.92508
531.7,0.89555
532.05,0.8908
532.41,0.9038
532.76,0.92137
533.11,0.85866
533.47,0.87203
533.82,0.85482
534.17,0.84012
534.52,0.83347
534.88,0.84211
535.23,0.88815
535.58,0.82388
535.93,0.81416
536.29,0.8113
536.64,0.80433
536.99,0.81628
537.34,0.79703
537.7,0.7781
538.05,0.76772
538.4,0.75371
538.75,0.75707
539.11,0.76444
539.46,0.74375
539.81,0.74191
540.16,0.77163
540.52,0.7275
540.87,0.71611
541.22,0.71926
541.57,0.74816
541.92,0.74834
542.28,0.6966
542.63,0.73669
542.98,0.69602
543.33,0.70751
543.68,0.68111
544.04,0.69487
544.39,0.69485
544.74,0.65345
545.09,0.66991
545.44,0.67088
545.79,0.66466
546.15,0.70227
546.5,0.72928
546.85,0.69943
547.2,0.65429
547.55,0.62408
547.9,0.62806
548.25,0.60237
548.61,0.61731
548.96,0.62247
549.31,0.61815
549.66,0.589
550.01,0.61134
550.36,0.5886
550.71,0.58624
551.06,0.60605
551.42,0.5742
551.77,0.57368
552.12,0.57368
552.47,0.57363
552.82,0.57613
553.17,0.57267
553.52,0.55643
553.87,0.54229
554.22,0.55662
554.57,0.56191
554.92,0.55
555.27,0.53484
555.63,0.53593
555.98,0.52108
556.33,0.52411
556.68,0.53313
557.03,0.53021
557.38,0.52591
557.73,0.54431
558.08,0.53587
558.43,0.49645
558.78,0.50176
559.13,0.5339
559.48,0.50528
559.83,0.50617
560.18,0.4849
560.53,0.49505
560.88,0.52262
561.23,0.49594
561.58,0.5221
561.93,0.48801
562.28,0.48734
562.63,0.49495
562.98,0.49908
563.33,0.47289
563.68,0.51471
564.03,0.46405
564.38,0.48377
564.73,0.46753
565.08,0.46732
565.43,0.49952
565.78,0.4488
566.13,0.46951
566.48,0.46382
566.83,0.47
567.18,0.45869
567.53,0.46402
567.88,0.43834
568.22,0.46398
568.57,0.46169
568.92,0.47573
569.27,0.45998
569.62,0.45756
569.97,0.43708
570.32,0.45351
570.67,0.44317
571.02,0.44097
571.37,0.43836
571.72,0.44494
572.07,0.47458
572.41,0.45924
572.76,0.46304
573.11,0.43968
573.46,0.4362
573.81,0.41543
574.16,0.39951
574.51,0.40665
574.86,0.4254
575.2,0.42615
575.55,0.44411
575.9,0.41341
576.25,0.41466
576.6,0.44681
576.95,0.45265
577.3,0.45035
577.64,0.41591
577.99,0.40991
578.34,0.43347
578.69,0.42457
579.04,0.42901
579.38,0.45057
579.73,0.41743
580.08,0.4216
580.43,0.4003
580.78,0.40523
581.13,0.42272
581.47,0.41364
581.82,0.42304
582.17,0.43841
582.52,0.41581
582.86,0.42143
583.21,0.42872
583.56,0.40564
583.91,0.40606
584.26,0.38419
584.6,0.39286
584.95,0.39161
585.3,0.40523
585.65,0.39556
585.99,0.37487
586.34,0.42726
586.69,0.39242
587.04,0.37627
587.38,0.41538
587.73,0.37848
588.08,0.40112
588.43,0.3873
588.77,0.39691
589.12,0.40343
589.47,0.4171
