USB2G13063_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
340.064	-203.17	340.064	-203.78	340.064	-203.5	340.064	-203	340.064	-203.72	340.064	-202.83	
340.433	5.83	340.433	6.22	340.433	1.5	340.433	-1	340.433	3.28	340.433	5.17	
340.803	10.83	340.803	6.22	340.803	4.5	340.803	7	340.803	6.28	340.803	7.17	
341.172	8.83	341.172	6.22	341.172	9.5	341.172	9	341.172	6.28	341.172	9.17	
341.542	10.83	341.542	6.22	341.542	6.5	341.542	10	341.542	9.28	341.542	5.17	
341.911	10.83	341.911	11.22	341.911	9.5	341.911	12	341.911	11.28	341.911	15.17	
342.28	8.83	342.28	12.22	342.28	11.5	342.28	11	342.28	6.28	342.28	11.17	
342.65	10.83	342.65	10.22	342.65	11.5	342.65	13	342.65	11.28	342.65	17.17	
343.019	10.83	343.019	7.22	343.019	14.5	343.019	13	343.019	16.28	343.019	11.17	
343.388	14.83	343.388	16.22	343.388	17.5	343.388	16	343.388	16.28	343.388	14.17	
343.757	9.83	343.757	17.22	343.757	14.5	343.757	17	343.757	12.28	343.757	12.17	
344.127	9.83	344.127	16.22	344.127	17.5	344.127	17	344.127	16.28	344.127	13.17	
344.496	12.83	344.496	10.22	344.496	15.5	344.496	12	344.496	9.28	344.496	13.17	
344.865	14.83	344.865	14.22	344.865	15.5	344.865	13	344.865	13.28	344.865	11.17	
345.234	19.83	345.234	15.22	345.234	13.5	345.234	14	345.234	16.28	345.234	14.17	
345.603	18.83	345.603	18.22	345.603	14.5	345.603	17	345.603	19.28	345.603	17.17	
345.972	15.83	345.972	16.22	345.972	11.5	345.972	14	345.972	14.28	345.972	12.17	
346.342	8.83	346.342	14.22	346.342	14.5	346.342	9	346.342	16.28	346.342	14.17	
346.711	12.83	346.711	12.22	346.711	12.5	346.711	16	346.711	13.28	346.711	15.17	
347.08	15.83	347.08	15.22	347.08	11.5	347.08	16	347.08	14.28	347.08	18.17	
347.449	24.83	347.449	22.22	347.449	19.5	347.449	20	347.449	18.28	347.449	22.17	
347.818	12.83	347.818	12.22	347.818	12.5	347.818	13	347.818	14.28	347.818	13.17	
348.186	9.83	348.186	16.22	348.186	13.5	348.186	17	348.186	12.28	348.186	16.17	
348.555	12.83	348.555	7.22	348.555	13.5	348.555	17	348.555	18.28	348.555	14.17	
348.924	11.83	348.924	17.22	348.924	12.5	348.924	14	348.924	12.28	348.924	13.17	
349.293	9.83	349.293	12.22	349.293	10.5	349.293	14	349.293	16.28	349.293	17.17	
349.662	15.83	349.662	15.22	349.662	16.5	349.662	16	349.662	15.28	349.662	17.17	
350.031	19.83	350.031	16.22	350.031	14.5	350.031	15	350.031	14.28	350.031	11.17	
350.399	11.83	350.399	17.22	350.399	13.5	350.399	18	350.399	10.28	350.399	14.17	
