USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		
340.064	-198.89	340.064	-198.5	340.064	-198.89	340.064	-198.72	340.064	-198.5	
340.433	0.11	340.433	5.5	340.433	3.11	340.433	5.28	340.433	3.5	
340.803	7.11	340.803	5.5	340.803	8.11	340.803	10.28	340.803	3.5	
341.172	7.11	341.172	10.5	341.172	7.11	341.172	5.28	341.172	8.5	
341.542	5.11	341.542	8.5	341.542	9.11	341.542	4.28	341.542	8.5	
341.911	7.11	341.911	11.5	341.911	11.11	341.911	8.28	341.911	10.5	
342.28	15.11	342.28	8.5	342.28	6.11	342.28	6.28	342.28	11.5	
342.65	10.11	342.65	14.5	342.65	12.11	342.65	14.28	342.65	8.5	
343.019	11.11	343.019	14.5	343.019	11.11	343.019	13.28	343.019	11.5	
343.388	18.11	343.388	13.5	343.388	15.11	343.388	16.28	343.388	16.5	
343.757	15.11	343.757	13.5	343.757	14.11	343.757	13.28	343.757	11.5	
344.127	14.11	344.127	12.5	344.127	12.11	344.127	17.28	344.127	15.5	
344.496	13.11	344.496	12.5	344.496	15.11	344.496	15.28	344.496	14.5	
344.865	13.11	344.865	16.5	344.865	15.11	344.865	16.28	344.865	14.5	
345.234	18.11	345.234	17.5	345.234	18.11	345.234	14.28	345.234	15.5	
345.603	19.11	345.603	14.5	345.603	14.11	345.603	14.28	345.603	16.5	
345.972	13.11	345.972	8.5	345.972	13.11	345.972	11.28	345.972	12.5	
346.342	12.11	346.342	10.5	346.342	14.11	346.342	13.28	346.342	15.5	
346.711	11.11	346.711	14.5	346.711	11.11	346.711	12.28	346.711	15.5	
347.08	10.11	347.08	10.5	347.08	9.11	347.08	11.28	347.08	13.5	
347.449	14.11	347.449	18.5	347.449	17.11	347.449	16.28	347.449	20.5	
347.818	12.11	347.818	13.5	347.818	7.11	347.818	14.28	347.818	12.5	
348.186	12.11	348.186	16.5	348.186	16.11	348.186	11.28	348.186	11.5	
348.555	15.11	348.555	13.5	348.555	13.11	348.555	13.28	348.555	13.5	
348.924	14.11	348.924	16.5	348.924	15.11	348.924	13.28	348.924	15.5	
349.293	13.11	349.293	14.5	349.293	17.11	349.293	10.28	349.293	15.5	
349.662	17.11	349.662	12.5	349.662	15.11	349.662	14.28	349.662	18.5	
350.031	11.11	350.031	16.5	350.031	16.11	350.031	14.28	350.031	12.5	
350.399	15.11	350.399	11.5	350.399	13.11	350.399	9.28	350.399	13.5	
350.768	17.11	350.768	14.5	350.768	12.11	350.768	17.28	350.768	18.5	
351.137	15.11	351.137	13.5	351.137	11.11	351.137	16.28	351.137	17.5	
351.506	17.11	351.506	18.5	351.506	11.11	351.506	13.28	351.506	13.5	
351.874	15.11	351.874	19.5	351.874	13.11	351.874	13.28	351.874	19.5	
352.243	11.11	352.243	16.5	352.243	17.11	352.243	13.28	352.243	11.5	
352.611	18.11	352.611	18.5	352.611	16.11	352.611	14.28	352.611	14.5	
352.98	17.11	352.98	17.5	352.98	18.11	352.98	14.28	352.98	15.5	
353.349	17.11	353.349	12.5	353.349	12.11	353.349	9.28	353.349	19.5	
353.717	15.11	353.717	13.5	353.717	13.11	353.717	14.28	353.717	15.5	
354.086	17.11	354.086	11.5	354.086	11.11	354.086	14.28	354.086	15.5	
354.454	16.11	354.454	16.5	354.454	10.11	354.454	17.28	354.454	14.5	
354.822	12.11	354.822	13.5	354.822	13.11	354.822	17.28	354.822	18.5	
355.191	14.11	355.191	13.5	355.191	15.11	355.191	17.28	355.191	18.5	
355.559	17.11	355.559	17.5	355.559	16.11	355.559	16.28	355.559	15.5	
355.927	10.11	355.927	13.5	355.927	18.11	355.927	14.28	355.927	13.5	
356.296	20.11	356.296	15.5	356.296	20.11	356.296	17.28	356.296	19.5	
356.664	17.11	356.664	10.5	356.664	15.11	356.664	15.28	356.664	21.5	
357.032	18.11	357.032	15.5	357.032	17.11	357.032	17.28	357.032	17.5	
357.401	22.11	357.401	12.5	357.401	17.11	357.401	13.28	357.401	16.5	
357.769	9.11	357.769	16.5	357.769	15.11	357.769	10.28	357.769	15.5	
358.137	14.11	358.137	14.5	358.137	13.11	358.137	21.28	358.137	13.5	
358.505	17.11	358.505	16.5	358.505	16.11	358.505	15.28	358.505	18.5	
358.873	17.11	358.873	16.5	358.873	12.11	358.873	14.28	358.873	16.5	
359.241	14.11	359.241	19.5	359.241	19.11	359.241	19.28	359.241	18.5	
359.609	19.11	359.609	16.5	359.609	15.11	359.609	11.28	359.609	16.5	
359.977	13.11	359.977	20.5	359.977	15.11	359.977	11.28	359.977	18.5	
360.345	14.11	360.345	16.5	360.345	17.11	360.345	16.28	360.345	13.5	
360.713	16.11	360.713	14.5	360.713	18.11	360.713	18.28	360.713	18.5	
361.081	14.11	361.081	18.5	361.081	17.11	361.081	16.28	361.081	11.5	
361.449	19.11	361.449	20.5	361.449	16.11	361.449	13.28	361.449	17.5	
361.817	18.11	361.817	14.5	361.817	15.11	361.817	17.28	361.817	17.5	
362.185	15.11	362.185	20.5	362.185	12.11	362.185	11.28	362.185	21.5	
362.553	15.11	362.553	14.5	362.553	19.11	362.553	20.28	362.553	18.5	
362.921	17.11	362.921	15.5	362.921	10.11	362.921	12.28	362.921	21.5	
363.288	14.11	363.288	19.5	363.288	15.11	363.288	14.28	363.288	18.5	
363.656	18.11	363.656	20.5	363.656	17.11	363.656	21.28	363.656	18.5	
364.024	13.11	364.024	13.5	364.024	17.11	364.024	14.28	364.024	17.5	
364.391	16.11	364.391	18.5	364.391	20.11	364.391	14.28	364.391	15.5	
364.759	16.11	364.759	22.5	364.759	19.11	364.759	16.28	364.759	19.5	
365.127	14.11	365.127	16.5	365.127	14.11	365.127	15.28	365.127	19.5	
365.494	15.11	365.494	18.5	365.494	15.11	365.494	11.28	365.494	18.5	
365.862	21.11	365.862	18.5	365.862	19.11	365.862	23.28	365.862	27.5	
366.229	16.11	366.229	15.5	366.229	15.11	366.229	16.28	366.229	19.5	
366.597	16.11	366.597	15.5	366.597	18.11	366.597	10.28	366.597	14.5	
366.964	16.11	366.964	18.5	366.964	19.11	366.964	19.28	366.964	18.5	
367.332	15.11	367.332	14.5	367.332	20.11	367.332	18.28	367.332	20.5	
367.699	11.11	367.699	17.5	367.699	16.11	367.699	14.28	367.699	14.5	
368.067	18.11	368.067	18.5	368.067	19.11	368.067	19.28	368.067	18.5	
368.434	21.11	368.434	18.5	368.434	16.11	368.434	19.28	368.434	20.5	
368.801	17.11	368.801	17.5	368.801	15.11	368.801	15.28	368.801	15.5	
369.169	17.11	369.169	21.5	369.169	19.11	369.169	17.28	369.169	18.5	
369.536	15.11	369.536	14.5	369.536	16.11	369.536	20.28	369.536	18.5	
369.903	19.11	369.903	16.5	369.903	16.11	369.903	20.28	369.903	19.5	
370.271	17.11	370.271	17.5	370.271	22.11	370.271	21.28	370.271	22.5	
370.638	16.11	370.638	17.5	370.638	17.11	370.638	22.28	370.638	19.5	
371.005	20.11	371.005	19.5	371.005	20.11	371.005	18.28	371.005	18.5	
371.372	20.11	371.372	19.5	371.372	20.11	371.372	22.28	371.372	24.5	
371.739	16.11	371.739	15.5	371.739	16.11	371.739	19.28	371.739	14.5	
372.106	19.11	372.106	16.5	372.106	14.11	372.106	15.28	372.106	19.5	
372.473	19.11	372.473	18.5	372.473	18.11	372.473	20.28	372.473	18.5	
372.84	15.11	372.84	15.5	372.84	23.11	372.84	16.28	372.84	20.5	
373.207	22.11	373.207	16.5	373.207	16.11	373.207	14.28	373.207	15.5	
373.574	17.11	373.574	21.5	373.574	18.11	373.574	16.28	373.574	16.5	
373.941	16.11	373.941	15.5	373.941	17.11	373.941	12.28	373.941	15.5	
374.308	15.11	374.308	17.5	374.308	15.11	374.308	12.28	374.308	18.5	
374.675	15.11	374.675	17.5	374.675	19.11	374.675	15.28	374.675	20.5	
375.042	17.11	375.042	15.5	375.042	17.11	375.042	16.28	375.042	15.5	
375.409	21.11	375.409	21.5	375.409	17.11	375.409	16.28	375.409	20.5	
375.776	16.11	375.776	15.5	375.776	18.11	375.776	17.28	375.776	15.5	
376.142	18.11	376.142	13.5	376.142	14.11	376.142	14.28	376.142	22.5	
376.509	18.11	376.509	16.5	376.509	21.11	376.509	20.28	376.509	16.5	
