USB2G13063_1:101		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		
340.064	-198.22	340.064	-198.61	340.064	-198.83	340.064	-199.39	340.064	-199.17	340.064	-199.5	
340.433	7.78	340.433	1.39	340.433	4.17	340.433	5.61	340.433	3.83	340.433	6.5	
340.803	5.78	340.803	8.39	340.803	9.17	340.803	3.61	340.803	5.83	340.803	9.5	
341.172	7.78	341.172	5.39	341.172	5.17	341.172	7.61	341.172	7.83	341.172	8.5	
341.542	8.78	341.542	7.39	341.542	6.17	341.542	7.61	341.542	7.83	341.542	6.5	
341.911	8.78	341.911	5.39	341.911	11.17	341.911	9.61	341.911	9.83	341.911	11.5	
342.28	9.78	342.28	8.39	342.28	8.17	342.28	7.61	342.28	11.83	342.28	10.5	
342.65	10.78	342.65	13.39	342.65	12.17	342.65	10.61	342.65	12.83	342.65	9.5	
343.019	11.78	343.019	14.39	343.019	14.17	343.019	13.61	343.019	6.83	343.019	14.5	
343.388	12.78	343.388	17.39	343.388	18.17	343.388	16.61	343.388	14.83	343.388	13.5	
343.757	10.78	343.757	18.39	343.757	16.17	343.757	16.61	343.757	11.83	343.757	14.5	
344.127	11.78	344.127	13.39	344.127	13.17	344.127	16.61	344.127	10.83	344.127	10.5	
344.496	14.78	344.496	10.39	344.496	12.17	344.496	11.61	344.496	14.83	344.496	14.5	
344.865	14.78	344.865	15.39	344.865	9.17	344.865	14.61	344.865	14.83	344.865	11.5	
345.234	16.78	345.234	13.39	345.234	15.17	345.234	12.61	345.234	17.83	345.234	12.5	
345.603	15.78	345.603	17.39	345.603	19.17	345.603	18.61	345.603	16.83	345.603	17.5	
345.972	15.78	345.972	15.39	345.972	11.17	345.972	13.61	345.972	16.83	345.972	14.5	
346.342	13.78	346.342	13.39	346.342	14.17	346.342	12.61	346.342	13.83	346.342	13.5	
346.711	15.78	346.711	15.39	346.711	22.17	346.711	13.61	346.711	11.83	346.711	13.5	
347.08	9.78	347.08	18.39	347.08	13.17	347.08	12.61	347.08	14.83	347.08	12.5	
347.449	18.78	347.449	22.39	347.449	19.17	347.449	22.61	347.449	19.83	347.449	18.5	
347.818	14.78	347.818	14.39	347.818	12.17	347.818	12.61	347.818	13.83	347.818	12.5	
348.186	15.78	348.186	17.39	348.186	13.17	348.186	15.61	348.186	13.83	348.186	13.5	
348.555	13.78	348.555	10.39	348.555	16.17	348.555	15.61	348.555	10.83	348.555	9.5	
348.924	13.78	348.924	15.39	348.924	20.17	348.924	13.61	348.924	17.83	348.924	11.5	
349.293	11.78	349.293	16.39	349.293	18.17	349.293	15.61	349.293	16.83	349.293	15.5	
349.662	15.78	349.662	11.39	349.662	13.17	349.662	15.61	349.662	13.83	349.662	11.5	
350.031	12.78	350.031	12.39	350.031	10.17	350.031	13.61	350.031	11.83	350.031	18.5	
350.399	15.78	350.399	16.39	350.399	14.17	350.399	12.61	350.399	14.83	350.399	16.5	
350.768	12.78	350.768	15.39	350.768	17.17	350.768	11.61	350.768	15.83	350.768	14.5	
351.137	13.78	351.137	17.39	351.137	14.17	351.137	17.61	351.137	13.83	351.137	14.5	
351.506	9.78	351.506	13.39	351.506	13.17	351.506	18.61	351.506	10.83	351.506	10.5	
351.874	13.78	351.874	15.39	351.874	16.17	351.874	15.61	351.874	13.83	351.874	14.5	
352.243	17.78	352.243	15.39	352.243	14.17	352.243	13.61	352.243	14.83	352.243	18.5	
352.611	14.78	352.611	13.39	352.611	18.17	352.611	16.61	352.611	14.83	352.611	15.5	
352.98	13.78	352.98	15.39	352.98	14.17	352.98	10.61	352.98	14.83	352.98	13.5	
353.349	10.78	353.349	17.39	353.349	16.17	353.349	16.61	353.349	10.83	353.349	15.5	
353.717	13.78	353.717	18.39	353.717	17.17	353.717	13.61	353.717	13.83	353.717	17.5	
354.086	9.78	354.086	15.39	354.086	9.17	354.086	16.61	354.086	13.83	354.086	10.5	
354.454	12.78	354.454	19.39	354.454	15.17	354.454	13.61	354.454	14.83	354.454	13.5	
354.822	16.78	354.822	16.39	354.822	13.17	354.822	12.61	354.822	16.83	354.822	14.5	
355.191	13.78	355.191	15.39	355.191	15.17	355.191	11.61	355.191	13.83	355.191	10.5	
355.559	12.78	355.559	13.39	355.559	13.17	355.559	15.61	355.559	14.83	355.559	12.5	
355.927	14.78	355.927	12.39	355.927	11.17	355.927	14.61	355.927	17.83	355.927	10.5	
356.296	11.78	356.296	17.39	356.296	20.17	356.296	18.61	356.296	12.83	356.296	15.5	
356.664	14.78	356.664	10.39	356.664	17.17	356.664	18.61	356.664	12.83	356.664	17.5	
357.032	10.78	357.032	18.39	357.032	15.17	357.032	16.61	357.032	15.83	357.032	14.5	
357.401	9.78	357.401	17.39	357.401	16.17	357.401	10.61	357.401	15.83	357.401	14.5	
357.769	12.78	357.769	11.39	357.769	16.17	357.769	14.61	357.769	18.83	357.769	12.5	
358.137	16.78	358.137	19.39	358.137	16.17	358.137	15.61	358.137	16.83	358.137	16.5	
358.505	13.78	358.505	13.39	358.505	16.17	358.505	18.61	358.505	12.83	358.505	14.5	
358.873	16.78	358.873	19.39	358.873	18.17	358.873	19.61	358.873	18.83	358.873	16.5	
359.241	12.78	359.241	15.39	359.241	16.17	359.241	16.61	359.241	15.83	359.241	12.5	
359.609	11.78	359.609	21.39	359.609	14.17	359.609	18.61	359.609	14.83	359.609	10.5	
359.977	16.78	359.977	12.39	359.977	18.17	359.977	12.61	359.977	16.83	359.977	17.5	
360.345	13.78	360.345	14.39	360.345	16.17	360.345	14.61	360.345	18.83	360.345	16.5	
360.713	11.78	360.713	15.39	360.713	14.17	360.713	13.61	360.713	15.83	360.713	17.5	
361.081	12.78	361.081	14.39	361.081	16.17	361.081	15.61	361.081	15.83	361.081	16.5	
361.449	11.78	361.449	19.39	361.449	15.17	361.449	16.61	361.449	15.83	361.449	14.5	
361.817	16.78	361.817	13.39	361.817	15.17	361.817	16.61	361.817	13.83	361.817	14.5	
362.185	11.78	362.185	17.39	362.185	13.17	362.185	15.61	362.185	21.83	362.185	16.5	
362.553	17.78	362.553	15.39	362.553	20.17	362.553	17.61	362.553	19.83	362.553	15.5	
362.921	20.78	362.921	16.39	362.921	21.17	362.921	12.61	362.921	17.83	362.921	19.5	
363.288	14.78	363.288	16.39	363.288	18.17	363.288	12.61	363.288	17.83	363.288	15.5	
363.656	18.78	363.656	16.39	363.656	18.17	363.656	19.61	363.656	16.83	363.656	19.5	
364.024	13.78	364.024	17.39	364.024	17.17	364.024	17.61	364.024	18.83	364.024	18.5	
364.391	10.78	364.391	21.39	364.391	18.17	364.391	17.61	364.391	14.83	364.391	11.5	
364.759	16.78	364.759	17.39	364.759	17.17	364.759	16.61	364.759	17.83	364.759	13.5	
365.127	15.78	365.127	16.39	365.127	18.17	365.127	16.61	365.127	17.83	365.127	18.5	
365.494	13.78	365.494	19.39	365.494	18.17	365.494	18.61	365.494	14.83	365.494	18.5	
365.862	19.78	365.862	19.39	365.862	20.17	365.862	17.61	365.862	19.83	365.862	24.5	
366.229	15.78	366.229	16.39	366.229	14.17	366.229	16.61	366.229	19.83	366.229	18.5	
366.597	15.78	366.597	12.39	366.597	16.17	366.597	14.61	366.597	17.83	366.597	19.5	
366.964	15.78	366.964	16.39	366.964	15.17	366.964	15.61	366.964	18.83	366.964	18.5	
367.332	16.78	367.332	17.39	367.332	14.17	367.332	19.61	367.332	15.83	367.332	19.5	
367.699	17.78	367.699	17.39	367.699	19.17	367.699	16.61	367.699	16.83	367.699	16.5	
368.067	16.78	368.067	14.39	368.067	13.17	368.067	14.61	368.067	15.83	368.067	12.5	
368.434	19.78	368.434	14.39	368.434	13.17	368.434	15.61	368.434	24.83	368.434	19.5	
368.801	17.78	368.801	17.39	368.801	18.17	368.801	16.61	368.801	16.83	368.801	14.5	
369.169	15.78	369.169	15.39	369.169	16.17	369.169	19.61	369.169	16.83	369.169	14.5	
369.536	13.78	369.536	18.39	369.536	14.17	369.536	18.61	369.536	17.83	369.536	18.5	
369.903	12.78	369.903	13.39	369.903	15.17	369.903	17.61	369.903	19.83	369.903	16.5	
370.271	18.78	370.271	16.39	370.271	16.17	370.271	20.61	370.271	19.83	370.271	20.5	
370.638	12.78	370.638	15.39	370.638	16.17	370.638	19.61	370.638	16.83	370.638	18.5	
371.005	17.78	371.005	17.39	371.005	19.17	371.005	17.61	371.005	16.83	371.005	17.5	
371.372	18.78	371.372	18.39	371.372	21.17	371.372	21.61	371.372	18.83	371.372	22.5	
371.739	18.78	371.739	16.39	371.739	16.17	371.739	15.61	371.739	16.83	371.739	18.5	
372.106	13.78	372.106	16.39	372.106	17.17	372.106	14.61	372.106	10.83	372.106	19.5	
372.473	14.78	372.473	15.39	372.473	18.17	372.473	14.61	372.473	18.83	372.473	17.5	
372.84	12.78	372.84	18.39	372.84	16.17	372.84	16.61	372.84	16.83	372.84	17.5	
373.207	20.78	373.207	17.39	373.207	16.17	373.207	17.61	373.207	17.83	373.207	16.5	
373.574	13.78	373.574	17.39	373.574	21.17	373.574	17.61	373.574	20.83	373.574	18.5	
373.941	15.78	373.941	18.39	373.941	18.17	373.941	12.61	373.941	13.83	373.941	19.5	
374.308	14.78	374.308	16.39	374.308	19.17	374.308	14.61	374.308	17.83	374.308	16.5	
374.675	16.78	374.675	17.39	374.675	18.17	374.675	17.61	374.675	14.83	374.675	21.5	
375.042	17.78	375.042	10.39	375.042	13.17	375.042	15.61	375.042	14.83	375.042	15.5	
375.409	16.78	375.409	16.39	375.409	17.17	375.409	16.61	375.409	13.83	375.409	16.5	
375.776	17.78	375.776	16.39	375.776	20.17	375.776	16.61	375.776	15.83	375.776	11.5	
376.142	19.78	376.142	15.39	376.142	22.17	376.142	16.61	376.142	14.83	376.142	23.5	
376.509	17.78	376.509	17.39	376.509	17.17	376.509	20.61	376.509	17.83	376.509	15.5	
376.876	18.78	376.876	19.39	376.876	16.17	376.876	17.61	376.876	21.83	376.876	19.5	
377.242	12.78	377.242	15.39	377.242	19.17	377.242	17.61	377.242	17.83	377.242	17.5	
377.609	18.78	377.609	23.39	377.609	19.17	377.609	17.61	377.609	20.83	377.609	15.5	
377.976	13.78	377.976	20.39	377.976	21.17	377.976	20.61	377.976	19.83	377.976	18.5	
378.342	18.78	378.342	20.39	378.342	21.17	378.342	16.61	378.342	13.83	378.342	13.5	
378.709	18.78	378.709	20.39	378.709	17.17	378.709	17.61	378.709	20.83	378.709	10.5	
379.075	16.78	379.075	19.39	379.075	22.17	379.075	15.61	379.075	17.83	379.075	15.5	
379.442	12.78	379.442	15.39	379.442	14.17	379.442	19.61	379.442	16.83	379.442	15.5	
379.808	15.78	379.808	19.39	379.808	19.17	379.808	17.61	379.808	21.83	379.808	12.5	
380.175	17.78	380.175	19.39	380.175	21.17	380.175	20.61	380.175	18.83	380.175	21.5	
380.541	14.78	380.541	32.39	380.541	20.17	380.541	18.61	380.541	20.83	380.541	19.5	
380.908	11.78	380.908	22.39	380.908	21.17	380.908	18.61	380.908	15.83	380.908	16.5	
381.274	15.78	381.274	19.39	381.274	21.17	381.274	19.61	381.274	15.83	381.274	16.5	
381.64	15.78	381.64	17.39	381.64	22.17	381.64	18.61	381.64	17.83	381.64	18.5	
382.007	15.78	382.007	22.39	382.007	19.17	382.007	16.61	382.007	15.83	382.007	16.5	
382.373	15.78	382.373	16.39	382.373	21.17	382.373	17.61	382.373	21.83	382.373	19.5	
382.739	16.78	382.739	16.39	382.739	18.17	382.739	18.61	382.739	19.83	382.739	19.5	
383.105	17.78	383.105	20.39	383.105	20.17	383.105	15.61	383.105	17.83	383.105	16.5	
383.472	21.78	383.472	16.39	383.472	21.17	383.472	25.61	383.472	21.83	383.472	21.5	
383.838	14.78	383.838	18.39	383.838	17.17	383.838	19.61	383.838	18.83	383.838	22.5	
384.204	20.78	384.204	23.39	384.204	24.17	384.204	21.61	384.204	16.83	384.204	19.5	
384.57	17.78	384.57	19.39	384.57	18.17	384.57	18.61	384.57	16.83	384.57	18.5	
384.936	16.78	384.936	17.39	384.936	19.17	384.936	19.61	384.936	21.83	384.936	19.5	
385.302	15.78	385.302	17.39	385.302	19.17	385.302	19.61	385.302	16.83	385.302	20.5	
385.668	16.78	385.668	18.39	385.668	17.17	385.668	19.61	385.668	19.83	385.668	17.5	
386.034	17.78	386.034	19.39	386.034	20.17	386.034	19.61	386.034	19.83	386.034	15.5	
386.4	21.78	386.4	19.39	386.4	20.17	386.4	19.61	386.4	17.83	386.4	20.5	
386.766	14.78	386.766	19.39	386.766	22.17	386.766	20.61	386.766	21.83	386.766	17.5	
387.132	16.78	387.132	18.39	387.132	19.17	387.132	22.61	387.132	17.83	387.132	18.5	
387.498	14.78	387.498	20.39	387.498	22.17	387.498	19.61	387.498	20.83	387.498	16.5	
387.864	13.78	387.864	17.39	387.864	22.17	387.864	17.61	387.864	19.83	387.864	16.5	
388.229	18.78	388.229	20.39	388.229	22.17	388.229	16.61	388.229	21.83	388.229	18.5	
388.595	17.78	388.595	25.39	388.595	21.17	388.595	18.61	388.595	19.83	388.595	18.5	
388.961	16.78	388.961	20.39	388.961	25.17	388.961	21.61	388.961	23.83	388.961	18.5	
389.327	15.78	389.327	22.39	389.327	22.17	389.327	19.61	389.327	22.83	389.327	20.5	
389.692	17.78	389.692	22.39	389.692	25.17	389.692	20.61	389.692	17.83	389.692	16.5	
390.058	16.78	390.058	20.39	390.058	22.17	390.058	21.61	390.058	22.83	390.058	21.5	
390.424	11.78	390.424	24.39	390.424	18.17	390.424	21.61	390.424	22.83	390.424	20.5	
390.789	16.78	390.789	24.39	390.789	25.17	390.789	22.61	390.789	20.83	390.789	19.5	
391.155	21.78	391.155	23.39	391.155	18.17	391.155	21.61	391.155	21.83	391.155	27.5	
391.52	21.78	391.52	19.39	391.52	25.17	391.52	20.61	391.52	19.83	391.52	19.5	
391.886	17.78	391.886	21.39	391.886	23.17	391.886	19.61	391.886	17.83	391.886	23.5	
392.251	19.78	392.251	24.39	392.251	23.17	392.251	22.61	392.251	20.83	392.251	17.5	
392.617	15.78	392.617	21.39	392.617	28.17	392.617	21.61	392.617	21.83	392.617	19.5	
392.982	19.78	392.982	26.39	392.982	24.17	392.982	25.61	392.982	14.83	392.982	24.5	
393.348	14.78	393.348	21.39	393.348	21.17	393.348	23.61	393.348	24.83	393.348	19.5	
393.713	20.78	393.713	20.39	393.713	22.17	393.713	26.61	393.713	24.83	393.713	19.5	
394.078	14.78	394.078	22.39	394.078	23.17	394.078	27.61	394.078	18.83	394.078	26.5	
394.444	21.78	394.444	24.39	394.444	23.17	394.444	24.61	394.444	19.83	394.444	22.5	
394.809	15.78	394.809	26.39	394.809	24.17	394.809	19.61	394.809	25.83	394.809	20.5	
395.174	17.78	395.174	21.39	395.174	24.17	395.174	23.61	395.174	25.83	395.174	21.5	
395.539	19.78	395.539	20.39	395.539	25.17	395.539	29.61	395.539	22.83	395.539	26.5	
395.904	10.78	395.904	23.39	395.904	24.17	395.904	29.61	395.904	25.83	395.904	21.5	
396.27	18.78	396.27	24.39	396.27	29.17	396.27	22.61	396.27	23.83	396.27	23.5	
396.635	19.78	396.635	27.39	396.635	21.17	396.635	24.61	396.635	22.83	396.635	25.5	
397	16.78	397	27.39	397	22.17	397	25.61	397	23.83	397	30.5	
397.365	21.78	397.365	26.39	397.365	27.17	397.365	29.61	397.365	24.83	397.365	29.5	
397.73	12.78	397.73	24.39	397.73	23.17	397.73	27.61	397.73	27.83	397.73	30.5	
398.095	19.78	398.095	26.39	398.095	28.17	398.095	25.61	398.095	27.83	398.095	23.5	
398.46	16.78	398.46	28.39	398.46	25.17	398.46	29.61	398.46	24.83	398.46	25.5	
398.825	17.78	398.825	25.39	398.825	26.17	398.825	25.61	398.825	22.83	398.825	25.5	
399.19	16.78	399.19	23.39	399.19	30.17	399.19	29.61	399.19	28.83	399.19	27.5	
399.555	18.78	399.555	27.39	399.555	30.17	399.555	24.61	399.555	27.83	399.555	23.5	
399.92	18.78	399.92	28.39	399.92	28.17	399.92	26.61	399.92	23.83	399.92	20.5	
400.284	19.78	400.284	29.39	400.284	25.17	400.284	27.61	400.284	27.83	400.284	33.5	
400.649	16.78	400.649	24.39	400.649	26.17	400.649	28.61	400.649	29.83	400.649	29.5	
401.014	15.78	401.014	28.39	401.014	27.17	401.014	33.61	401.014	28.83	401.014	31.5	
401.379	19.78	401.379	29.39	401.379	33.17	401.379	28.61	401.379	31.83	401.379	29.5	
401.743	19.78	401.743	30.39	401.743	38.17	401.743	31.61	401.743	27.83	401.743	28.5	
402.108	21.78	402.108	26.39	402.108	27.17	402.108	27.61	402.108	29.83	402.108	28.5	
402.473	21.78	402.473	26.39	402.473	30.17	402.473	34.61	402.473	29.83	402.473	30.5	
402.837	16.78	402.837	29.39	402.837	33.17	402.837	31.61	402.837	27.83	402.837	31.5	
403.202	14.78	403.202	28.39	403.202	32.17	403.202	31.61	403.202	30.83	403.202	32.5	
403.566	21.78	403.566	29.39	403.566	31.17	403.566	29.61	403.566	30.83	403.566	30.5	
403.931	16.78	403.931	33.39	403.931	27.17	403.931	33.61	403.931	35.83	403.931	30.5	
404.296	18.78	404.296	24.39	404.296	32.17	404.296	27.61	404.296	32.83	404.296	31.5	
404.66	22.78	404.66	34.39	404.66	32.17	404.66	28.61	404.66	30.83	404.66	29.5	
405.024	18.78	405.024	30.39	405.024	32.17	405.024	33.61	405.024	29.83	405.024	33.5	
405.389	18.78	405.389	30.39	405.389	34.17	405.389	33.61	405.389	37.83	405.389	34.5	
405.753	21.78	405.753	31.39	405.753	30.17	405.753	35.61	405.753	35.83	405.753	29.5	
406.118	15.78	406.118	30.39	406.118	33.17	406.118	29.61	406.118	32.83	406.118	28.5	
406.482	17.78	406.482	40.39	406.482	34.17	406.482	34.61	406.482	37.83	406.482	30.5	
406.846	19.78	406.846	30.39	406.846	33.17	406.846	35.61	406.846	34.83	406.846	36.5	
407.21	18.78	407.21	34.39	407.21	31.17	407.21	36.61	407.21	32.83	407.21	38.5	
407.575	20.78	407.575	34.39	407.575	37.17	407.575	37.61	407.575	33.83	407.575	36.5	
407.939	19.78	407.939	32.39	407.939	31.17	407.939	36.61	407.939	37.83	407.939	34.5	
408.303	18.78	408.303	40.39	408.303	34.17	408.303	36.61	408.303	37.83	408.303	36.5	
408.667	19.78	408.667	38.39	408.667	35.17	408.667	36.61	408.667	33.83	408.667	31.5	
409.031	20.78	409.031	33.39	409.031	37.17	409.031	34.61	409.031	34.83	409.031	37.5	
409.395	17.78	409.395	37.39	409.395	41.17	409.395	40.61	409.395	40.83	409.395	40.5	
409.759	20.78	409.759	29.39	409.759	39.17	409.759	36.61	409.759	35.83	409.759	40.5	
410.123	20.78	410.123	38.39	410.123	39.17	410.123	33.61	410.123	35.83	410.123	37.5	
410.487	17.78	410.487	34.39	410.487	33.17	410.487	41.61	410.487	36.83	410.487	39.5	
410.851	18.78	410.851	37.39	410.851	38.17	410.851	43.61	410.851	35.83	410.851	43.5	
411.215	18.78	411.215	35.39	411.215	40.17	411.215	36.61	411.215	39.83	411.215	42.5	
411.579	15.78	411.579	40.39	411.579	41.17	411.579	39.61	411.579	37.83	411.579	43.5	
411.943	22.78	411.943	37.39	411.943	44.17	411.943	40.61	411.943	39.83	411.943	36.5	
