epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.632,1.47202,1.21885,0.26829,0.9661,0.84873,0.91306,0.63183,1.117,0.1399,0.22106,0.0670219,0.000333112,0.000333112
2,782.183,1.19693,0.20646,0.24096,0.94854,0.80888,0.89024,0.62714,1.09947,0.14028,0.21844,0.0340153,0.000659848,0.000659848
3,1169.09,1.23261,0.20909,0.25172,0.96915,0.78789,0.91722,0.65453,1.13291,0.15411,0.24524,0.0010021,0.000979983,0.000979983
4,1551.53,1.23073,0.20228,0.25013,0.91382,0.93076,0.96296,0.70021,1.0097,0.12457,0.2303,0.0009703,0.0009703,0.0009703
5,1934.42,1.20499,0.19029,0.24915,0.95656,0.93574,0.97062,0.68373,1.11249,0.11033,0.229,0.0009604,0.0009604,0.0009604
6,2316.42,1.15904,0.17897,0.24517,0.95382,0.90641,0.97637,0.74043,0.90655,0.10523,0.22662,0.0009505,0.0009505,0.0009505
7,2698.68,1.13021,0.16956,0.24029,0.94613,0.93103,0.97716,0.73811,0.87978,0.11068,0.21781,0.0009406,0.0009406,0.0009406
8,3080.8,1.10423,0.16412,0.24048,0.95928,0.92314,0.97616,0.75514,0.86996,0.10923,0.22489,0.0009307,0.0009307,0.0009307
9,3463.03,1.09755,0.15813,0.23589,0.9579,0.96295,0.98821,0.76984,0.83698,0.09364,0.21329,0.0009208,0.0009208,0.0009208
10,3844.51,1.06573,0.15569,0.23398,0.94935,0.96082,0.98254,0.77218,0.83197,0.09274,0.21873,0.0009109,0.0009109,0.0009109
11,4226.39,1.04553,0.14888,0.2325,0.97924,0.96097,0.99002,0.7807,0.83222,0.08654,0.21841,0.000901,0.000901,0.000901
12,4608.06,1.03468,0.15113,0.23218,0.97337,0.94671,0.9884,0.79047,0.80021,0.08607,0.21496,0.0008911,0.0008911,0.0008911
13,4989.67,1.01886,0.14635,0.229,0.96307,0.97022,0.9882,0.79597,0.79665,0.08503,0.21075,0.0008812,0.0008812,0.0008812
14,5371.02,1.00111,0.14255,0.2282,0.98106,0.97425,0.99036,0.80413,0.7941,0.07998,0.21361,0.0008713,0.0008713,0.0008713
15,5752.25,1.00906,0.14582,0.23005,0.97956,0.97962,0.99216,0.80259,0.77886,0.07918,0.21561,0.0008614,0.0008614,0.0008614
16,6132.95,0.98477,0.14075,0.22685,0.9816,0.97335,0.99001,0.81639,0.76234,0.07896,0.21272,0.0008515,0.0008515,0.0008515
17,6514.09,0.98522,0.13695,0.2272,0.98569,0.97168,0.99082,0.81774,0.73741,0.07946,0.20797,0.0008416,0.0008416,0.0008416
18,6895.39,0.97002,0.13554,0.22407,0.98257,0.97166,0.99109,0.82399,0.73148,0.07908,0.20606,0.0008317,0.0008317,0.0008317
19,7276.49,0.97245,0.13766,0.22498,0.98411,0.97055,0.99102,0.82613,0.72309,0.07864,0.20463,0.0008218,0.0008218,0.0008218
20,7657.78,0.97674,0.13285,0.22517,0.98259,0.97282,0.99152,0.82876,0.73013,0.07664,0.20519,0.0008119,0.0008119,0.0008119
21,8038.29,0.94712,0.13177,0.2216,0.978,0.97537,0.9918,0.831,0.72227,0.07597,0.20504,0.000802,0.000802,0.000802
22,8419.46,0.93494,0.12905,0.22029,0.97952,0.97449,0.9911,0.83013,0.72212,0.07651,0.20546,0.0007921,0.0007921,0.0007921
23,8800.55,0.92588,0.12595,0.22122,0.97729,0.97492,0.99089,0.83227,0.72257,0.07581,0.20592,0.0007822,0.0007822,0.0007822
24,9181.25,0.9325,0.12472,0.22152,0.9816,0.97492,0.99097,0.83502,0.71871,0.07606,0.2058,0.0007723,0.0007723,0.0007723
25,9562.43,0.92734,0.12535,0.22154,0.98579,0.97492,0.99132,0.83464,0.71671,0.07504,0.20592,0.0007624,0.0007624,0.0007624
26,9943.55,0.91526,0.1266,0.21787,0.98586,0.97492,0.99148,0.83531,0.71121,0.07403,0.20532,0.0007525,0.0007525,0.0007525
27,10324.8,0.91017,0.12087,0.21811,0.98627,0.97492,0.99158,0.8365,0.70784,0.07368,0.20506,0.0007426,0.0007426,0.0007426
28,10705.9,0.90115,0.12111,0.21673,0.98522,0.97492,0.99161,0.83811,0.70356,0.073,0.20471,0.0007327,0.0007327,0.0007327
29,11087,0.89172,0.11998,0.21473,0.97507,0.98107,0.99135,0.83851,0.70194,0.07242,0.20443,0.0007228,0.0007228,0.0007228
30,11468.4,0.89599,0.11675,0.21694,0.97965,0.9811,0.99137,0.84044,0.70494,0.07201,0.2047,0.0007129,0.0007129,0.0007129
31,11849,0.86389,0.11291,0.21336,0.97878,0.97962,0.99124,0.84386,0.704,0.07203,0.20463,0.000703,0.000703,0.000703
32,12230.3,0.88416,0.11411,0.21628,0.97832,0.97962,0.9915,0.84424,0.70375,0.07153,0.20465,0.0006931,0.0006931,0.0006931
33,12611.4,0.87502,0.11555,0.21504,0.97925,0.98119,0.99164,0.84309,0.70332,0.07074,0.20469,0.0006832,0.0006832,0.0006832
34,12992.7,0.84683,0.11048,0.2131,0.98159,0.98276,0.99164,0.84113,0.70156,0.07014,0.20449,0.0006733,0.0006733,0.0006733
35,13373.7,0.85932,0.11376,0.21331,0.98026,0.98119,0.99178,0.84189,0.69985,0.06975,0.20422,0.0006634,0.0006634,0.0006634
36,13755,0.84682,0.10961,0.21094,0.98093,0.98119,0.99172,0.84274,0.69813,0.06942,0.20397,0.0006535,0.0006535,0.0006535
37,14136,0.83534,0.11108,0.21163,0.98118,0.98069,0.99185,0.84199,0.69638,0.06928,0.20387,0.0006436,0.0006436,0.0006436
38,14517,0.85339,0.11027,0.2129,0.98394,0.97962,0.99185,0.84285,0.69469,0.06927,0.2037,0.0006337,0.0006337,0.0006337
39,14898.1,0.85267,0.10747,0.21275,0.97956,0.97962,0.99184,0.84312,0.69473,0.06887,0.20402,0.0006238,0.0006238,0.0006238
40,15279.2,0.84013,0.10725,0.21153,0.98115,0.97893,0.99216,0.84339,0.69392,0.06805,0.2041,0.0006139,0.0006139,0.0006139
41,15660.2,0.82695,0.10539,0.20991,0.98416,0.97384,0.99255,0.84319,0.69387,0.06717,0.20407,0.000604,0.000604,0.000604
42,16041.2,0.82166,0.10263,0.20973,0.98261,0.97413,0.99265,0.84493,0.69389,0.06667,0.2039,0.0005941,0.0005941,0.0005941
43,16422.3,0.82026,0.10318,0.20963,0.98258,0.97249,0.99259,0.8447,0.69439,0.06706,0.20378,0.0005842,0.0005842,0.0005842
44,16803.2,0.79973,0.1034,0.20566,0.98415,0.97298,0.9927,0.84588,0.6956,0.06721,0.20369,0.0005743,0.0005743,0.0005743
45,17184.2,0.80229,0.09994,0.20733,0.98684,0.97022,0.99219,0.84513,0.69574,0.0677,0.20326,0.0005644,0.0005644,0.0005644
46,17565.1,0.79349,0.10041,0.20695,0.98722,0.96887,0.9926,0.84568,0.69517,0.06773,0.20313,0.0005545,0.0005545,0.0005545
