epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.121,1.46915,1.04207,0.26919,0.96504,0.82213,0.93778,0.65547,1.06585,0.13484,0.21145,0.0670345,0.000332985,0.000332985
2,509.836,1.17925,0.20064,0.24174,0.94872,0.86677,0.95246,0.65896,1.03648,0.10954,0.21982,0.0340279,0.000659721,0.000659721
3,757.693,1.2181,0.19905,0.24919,0.91921,0.88871,0.96059,0.67497,1.09157,0.13179,0.22776,0.00101473,0.000979858,0.000979858
4,1002.76,1.178,0.18368,0.24078,0.92467,0.92633,0.97115,0.6811,1.09844,0.11294,0.22198,0.0009703,0.0009703,0.0009703
5,1248.42,1.12758,0.16704,0.23613,0.95841,0.93917,0.98125,0.7356,0.96112,0.11215,0.21886,0.0009604,0.0009604,0.0009604
6,1493.14,1.11363,0.16048,0.23405,0.95958,0.89296,0.97544,0.76552,0.91319,0.10427,0.21339,0.0009505,0.0009505,0.0009505
7,1738.65,1.09131,0.15554,0.23409,0.94896,0.87417,0.97175,0.73046,0.92039,0.10256,0.21393,0.0009406,0.0009406,0.0009406
8,1984.47,1.06002,0.14994,0.23178,0.93898,0.84424,0.94825,0.70444,0.90419,0.12028,0.21029,0.0009307,0.0009307,0.0009307
9,2230.32,1.02908,0.1411,0.22544,0.94323,0.86677,0.95445,0.72723,0.88642,0.1056,0.21326,0.0009208,0.0009208,0.0009208
10,2475.04,1.0303,0.14378,0.22783,0.95621,0.9584,0.98723,0.76953,0.86551,0.09229,0.20763,0.0009109,0.0009109,0.0009109
11,2719.82,0.99707,0.1384,0.22512,0.94539,0.92254,0.97745,0.7671,0.8581,0.09487,0.22104,0.000901,0.000901,0.000901
12,2964.62,0.99878,0.13803,0.22403,0.97846,0.9232,0.98518,0.77388,0.82351,0.08599,0.20425,0.0008911,0.0008911,0.0008911
13,3209.47,0.96898,0.12885,0.22105,0.94708,0.95379,0.98447,0.77271,0.81432,0.08366,0.20501,0.0008812,0.0008812,0.0008812
14,3454.54,0.96014,0.12931,0.22028,0.94902,0.93361,0.9848,0.78666,0.81046,0.08134,0.20687,0.0008713,0.0008713,0.0008713
15,3699.62,0.95847,0.12645,0.22172,0.97532,0.8605,0.97321,0.78115,0.80254,0.08762,0.20925,0.0008614,0.0008614,0.0008614
16,3948.35,0.9476,0.12485,0.21953,0.95501,0.95298,0.98499,0.77955,0.78055,0.08269,0.20769,0.0008515,0.0008515,0.0008515
17,4194.42,0.95024,0.1248,0.21916,0.97017,0.95611,0.99101,0.7907,0.77845,0.07848,0.20276,0.0008416,0.0008416,0.0008416
18,4439.22,0.93815,0.12294,0.21769,0.96254,0.92629,0.98315,0.78766,0.78016,0.07829,0.20632,0.0008317,0.0008317,0.0008317
19,4683.89,0.91718,0.12133,0.21801,0.98186,0.96395,0.98944,0.80094,0.76825,0.07965,0.21228,0.0008218,0.0008218,0.0008218
20,4928.6,0.92507,0.12254,0.21811,0.981,0.97108,0.99169,0.80969,0.73984,0.07623,0.20156,0.0008119,0.0008119,0.0008119
21,5172.98,0.90453,0.1168,0.21612,0.97187,0.97471,0.99154,0.81747,0.74357,0.07187,0.2012,0.000802,0.000802,0.000802
22,5417.49,0.89997,0.11643,0.21624,0.97821,0.98487,0.99381,0.81579,0.74447,0.06956,0.20578,0.0007921,0.0007921,0.0007921
23,5661.94,0.89171,0.1126,0.21612,0.9843,0.98276,0.99386,0.82028,0.73418,0.07065,0.20512,0.0007822,0.0007822,0.0007822
24,5906.41,0.89104,0.11554,0.21469,0.98462,0.97962,0.99358,0.82143,0.73364,0.0687,0.20441,0.0007723,0.0007723,0.0007723
25,6150.75,0.8832,0.11447,0.2138,0.98789,0.98276,0.9941,0.81971,0.73694,0.06834,0.20335,0.0007624,0.0007624,0.0007624
26,6395.24,0.86715,0.10937,0.21072,0.99054,0.97806,0.99388,0.82688,0.73052,0.06778,0.20212,0.0007525,0.0007525,0.0007525
27,6639.58,0.87161,0.10993,0.21153,0.98579,0.97832,0.99395,0.8287,0.72608,0.06701,0.2016,0.0007426,0.0007426,0.0007426
28,6884.02,0.85875,0.10936,0.209,0.97964,0.98059,0.99394,0.83011,0.72368,0.06475,0.19967,0.0007327,0.0007327,0.0007327
29,7128.45,0.85704,0.10742,0.21033,0.9827,0.97947,0.99371,0.83306,0.71759,0.06346,0.19926,0.0007228,0.0007228,0.0007228
30,7372.86,0.84539,0.10601,0.21045,0.98579,0.98276,0.99388,0.83081,0.71791,0.06421,0.19976,0.0007129,0.0007129,0.0007129
31,7617.3,0.8426,0.10573,0.20902,0.98764,0.98119,0.99391,0.83145,0.72026,0.06305,0.19993,0.000703,0.000703,0.000703
32,7861.53,0.83181,0.10399,0.20857,0.98868,0.98119,0.99401,0.83238,0.71604,0.06284,0.19897,0.0006931,0.0006931,0.0006931
33,8106.05,0.83678,0.10497,0.20859,0.98588,0.98119,0.99349,0.83187,0.71754,0.06313,0.19935,0.0006832,0.0006832,0.0006832
34,8350.46,0.82804,0.1032,0.20826,0.9843,0.98276,0.99341,0.83617,0.71734,0.06271,0.19907,0.0006733,0.0006733,0.0006733
35,8594.7,0.8322,0.10335,0.20936,0.98487,0.98276,0.99359,0.83671,0.71531,0.06261,0.19877,0.0006634,0.0006634,0.0006634
36,8839.02,0.80904,0.10041,0.20594,0.98584,0.98187,0.99354,0.83716,0.7158,0.06245,0.1991,0.0006535,0.0006535,0.0006535
