epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.232,1.45333,1.62495,0.24315,0.97413,0.87868,0.94975,0.61248,1.22003,0.12756,0.22022,0.0670521,0.000332808,0.000332808
2,373.388,1.17446,0.17844,0.21246,0.96735,0.88886,0.96477,0.67165,1.09861,0.11355,0.21378,0.0340455,0.000659546,0.000659546
3,554.541,1.07698,0.14471,0.20632,0.98154,0.94,0.98146,0.69544,1.08713,0.09962,0.21144,0.00103226,0.000979685,0.000979685
4,736.2,1.08993,0.14154,0.20678,0.95536,0.96,0.98524,0.72016,1.00395,0.10091,0.20468,0.0009703,0.0009703,0.0009703
5,916.921,1.04262,0.12794,0.20283,0.96088,0.97333,0.99141,0.75747,0.87779,0.08834,0.19586,0.0009604,0.0009604,0.0009604
6,1098.85,1.00659,0.11927,0.20046,0.97025,0.97333,0.99177,0.74838,0.92049,0.09078,0.20023,0.0009505,0.0009505,0.0009505
7,1279.36,0.99671,0.11244,0.19923,0.9861,0.94558,0.98484,0.78143,0.79479,0.09025,0.19356,0.0009406,0.0009406,0.0009406
8,1460.94,0.95454,0.10755,0.19662,0.97793,0.97,0.98868,0.77613,0.85827,0.08647,0.19444,0.0009307,0.0009307,0.0009307
9,1641.98,0.95401,0.104,0.19675,0.98306,0.96705,0.99265,0.76349,0.88549,0.0817,0.1924,0.0009208,0.0009208,0.0009208
10,1822.67,0.94633,0.10343,0.1963,0.98802,0.98333,0.99334,0.77272,0.82666,0.08283,0.19077,0.0009109,0.0009109,0.0009109
11,2004.81,0.92729,0.10049,0.19457,0.97934,0.95333,0.98931,0.79301,0.75949,0.08852,0.1898,0.000901,0.000901,0.000901
12,2186.45,0.91092,0.09754,0.19358,0.95628,0.99333,0.99327,0.78918,0.7861,0.07662,0.18893,0.0008911,0.0008911,0.0008911
13,2367.59,0.89127,0.09607,0.19118,0.97208,0.97,0.99198,0.78979,0.76708,0.08223,0.18709,0.0008812,0.0008812,0.0008812
14,2548.09,0.89952,0.0945,0.19226,0.97183,0.94667,0.98672,0.80474,0.7293,0.0854,0.18763,0.0008713,0.0008713,0.0008713
15,2730.98,0.87954,0.09356,0.19099,0.96905,0.92667,0.97268,0.76174,0.81824,0.10252,0.19104,0.0008614,0.0008614,0.0008614
16,2912.18,0.86072,0.09023,0.18956,0.99276,0.91455,0.98217,0.79182,0.74238,0.0869,0.18664,0.0008515,0.0008515,0.0008515
17,3094.51,0.87208,0.08966,0.19064,0.98327,0.97954,0.99269,0.81757,0.67752,0.07657,0.18448,0.0008416,0.0008416,0.0008416
18,3276.12,0.86656,0.08973,0.18929,0.93572,0.94333,0.95905,0.77279,0.7205,0.09481,0.18768,0.0008317,0.0008317,0.0008317
19,3457.75,0.83993,0.0868,0.18735,0.98302,0.95667,0.99047,0.80125,0.72025,0.07773,0.1875,0.0008218,0.0008218,0.0008218
20,3638.19,0.84123,0.08568,0.18921,0.96508,0.92,0.97899,0.80075,0.67787,0.08772,0.18197,0.0008119,0.0008119,0.0008119
21,3820.14,0.83023,0.08417,0.18671,0.90332,0.88333,0.94376,0.77265,0.67151,0.1277,0.18198,0.000802,0.000802,0.000802
22,4001.47,0.83998,0.08785,0.18813,0.99264,0.89919,0.96995,0.79546,0.65343,0.10643,0.18152,0.0007921,0.0007921,0.0007921
23,4182.98,0.81569,0.08263,0.18682,0.97728,0.89333,0.95472,0.78944,0.67666,0.12062,0.18181,0.0007822,0.0007822,0.0007822
24,4364.9,0.82634,0.08549,0.18747,0.99203,0.97667,0.99242,0.81174,0.7036,0.07718,0.18602,0.0007723,0.0007723,0.0007723
25,4547.32,0.81574,0.08465,0.18623,0.97152,0.84333,0.95823,0.79109,0.69141,0.12235,0.18464,0.0007624,0.0007624,0.0007624
26,4729.72,0.80288,0.08038,0.18494,0.96155,0.86,0.95668,0.79687,0.67565,0.1222,0.18206,0.0007525,0.0007525,0.0007525
27,4911.57,0.80798,0.08333,0.1864,0.98158,0.88829,0.96936,0.80378,0.62999,0.14263,0.18346,0.0007426,0.0007426,0.0007426
28,5093.91,0.80055,0.08124,0.18512,0.95856,0.94333,0.98434,0.82993,0.64746,0.08662,0.18231,0.0007327,0.0007327,0.0007327
29,5276.84,0.7983,0.08047,0.18548,0.97178,0.91846,0.98363,0.82076,0.63737,0.09949,0.18168,0.0007228,0.0007228,0.0007228
30,5459.83,0.78332,0.07881,0.18403,0.98994,0.98388,0.9944,0.83947,0.63661,0.06812,0.18198,0.0007129,0.0007129,0.0007129
31,5642.16,0.77943,0.0789,0.18312,0.93693,0.79225,0.90194,0.73492,0.72443,0.23113,0.1899,0.000703,0.000703,0.000703
32,5824.76,0.77158,0.07744,0.18379,0.97517,0.9165,0.98528,0.82569,0.61491,0.10086,0.17996,0.0006931,0.0006931,0.0006931
33,6007.75,0.77137,0.07975,0.18317,0.9572,0.89455,0.97216,0.81436,0.63808,0.12777,0.18241,0.0006832,0.0006832,0.0006832
34,6190.61,0.77526,0.07803,0.1839,0.95514,0.85159,0.96604,0.78935,0.69683,0.15147,0.18609,0.0006733,0.0006733,0.0006733
35,6373.18,0.77113,0.0766,0.18334,0.95805,0.83742,0.95266,0.78595,0.66926,0.1373,0.18354,0.0006634,0.0006634,0.0006634
36,6555.63,0.74638,0.07493,0.18079,0.96882,0.93211,0.98649,0.83066,0.64971,0.11172,0.18259,0.0006535,0.0006535,0.0006535
37,6738.12,0.76807,0.07646,0.18239,0.98528,0.89238,0.98623,0.83744,0.66072,0.11375,0.18265,0.0006436,0.0006436,0.0006436
38,6920.97,0.74749,0.07519,0.18128,0.97527,0.92024,0.9901,0.83484,0.62013,0.10902,0.1801,0.0006337,0.0006337,0.0006337
39,7103.53,0.73987,0.07369,0.1813,0.95171,0.91333,0.9755,0.82929,0.58828,0.09708,0.17905,0.0006238,0.0006238,0.0006238
40,7285.39,0.72841,0.07202,0.18023,0.97762,0.97,0.99331,0.84368,0.61948,0.08563,0.18071,0.0006139,0.0006139,0.0006139
41,7467.42,0.73993,0.07362,0.18065,0.97398,0.88333,0.97578,0.81627,0.61501,0.12866,0.1811,0.000604,0.000604,0.000604
